user,version,portal,pages
1,0,1,3
2,1,0,4
3,0,0,1
4,0,1,3
5,0,0,3
6,0,0,1
7,1,0,5
8,1,1,2
9,1,0,4
10,1,1,2
11,1,1,3
12,1,0,4
13,0,0,2
14,1,0,7
15,0,1,1
16,1,1,4
17,0,1,1
18,0,1,1
19,0,1,7
20,1,1,1
21,0,1,1
22,0,1,2
23,1,0,4
24,0,1,1
25,0,0,1
26,1,0,3
27,0,0,3
28,0,1,3
29,0,1,1
30,0,0,1
31,0,1,2
32,0,0,1
33,1,0,3
34,1,1,3
35,1,1,1
36,1,0,6
37,1,0,2
38,1,0,5
39,0,1,1
40,0,1,2
41,1,1,2
42,0,0,1
43,1,1,1
44,0,0,2
45,0,0,1
46,0,0,1
47,0,0,1
48,1,1,7
49,1,0,2
50,0,0,2
51,0,0,2
52,1,1,6
53,0,1,1
54,0,0,3
55,0,1,5
56,1,0,4
57,1,1,3
58,0,1,1
59,1,1,3
60,0,1,2
61,1,1,2
62,0,1,3
63,0,1,2
64,1,1,2
65,1,0,1
66,1,0,5
67,1,0,2
68,0,0,1
69,1,0,4
70,0,1,3
71,0,0,3
72,0,0,4
73,1,1,4
74,1,0,3
75,1,0,7
76,0,0,1
77,0,1,3
78,0,1,3
79,0,1,3
80,1,0,5
81,0,0,2
82,0,1,1
83,0,0,2
84,0,1,1
85,0,1,2
86,0,1,4
87,1,1,2
88,0,0,4
89,0,0,1
90,0,1,2
91,0,0,1
92,1,0,4
93,1,1,5
94,1,1,4
95,1,0,1
96,1,0,6
97,1,0,4
98,1,1,1
99,1,1,5
100,0,0,1
101,0,0,1
102,1,0,6
103,0,1,2
104,0,0,2
105,1,1,1
106,0,0,1
107,0,1,3
108,0,0,3
109,0,0,1
110,0,0,1
111,0,1,1
112,0,1,1
113,0,0,2
114,0,0,1
115,0,1,3
116,0,0,1
117,1,1,3
118,1,0,4
119,0,1,3
120,1,1,2
121,1,0,3
122,1,0,3
123,0,0,3
124,1,0,4
125,0,1,3
126,1,0,2
127,0,1,2
128,1,0,4
129,1,0,4
130,0,1,3
131,0,1,1
132,0,0,2
133,1,0,3
134,1,0,11
135,1,1,1
136,0,0,1
137,0,0,1
138,1,0,6
139,0,1,1
140,0,0,1
141,0,0,1
142,1,1,5
143,0,1,1
144,1,1,2
145,1,0,2
146,1,1,1
147,1,1,1
148,0,1,1
149,1,0,6
150,1,0,4
151,1,1,2
152,1,1,2
153,0,0,1
154,1,0,3
155,0,1,1
156,0,1,3
157,1,0,2
158,1,0,4
159,1,1,2
160,1,1,2
161,1,1,2
162,1,0,6
163,0,1,2
164,0,0,2
165,1,0,4
166,0,0,3
167,0,0,6
168,1,0,5
169,1,1,3
170,1,1,4
171,0,0,2
172,0,1,2
173,0,1,2
174,0,1,1
175,1,1,3
176,1,1,2
177,1,1,2
178,1,0,2
179,0,1,2
180,1,1,2
181,0,1,1
182,0,1,3
183,0,1,3
184,1,0,3
185,1,0,4
186,1,1,4
187,1,0,3
188,1,0,3
189,1,1,1
190,1,1,1
191,1,0,2
192,0,0,1
193,1,0,8
194,1,0,2
195,1,0,4
196,1,0,4
197,1,1,3
198,0,1,1
199,1,0,5
200,1,0,4
201,0,1,1
202,1,0,4
203,1,0,5
204,0,1,2
205,0,1,2
206,1,0,4
207,1,0,2
208,1,1,2
209,0,0,3
210,1,1,2
211,1,1,2
212,1,1,6
213,0,0,1
214,0,1,1
215,0,0,1
216,0,0,2
217,1,0,2
218,0,0,2
219,1,0,2
220,0,0,2
221,1,1,2
222,0,0,2
223,0,1,4
224,1,1,3
225,0,1,1
226,1,0,4
227,1,1,1
228,0,0,6
229,1,1,3
230,1,1,3
231,1,0,2
232,1,1,2
233,0,0,3
234,0,1,2
235,1,0,6
236,1,0,7
237,1,0,3
238,1,1,3
239,0,1,2
240,1,1,2
241,0,0,6
242,0,1,1
243,0,0,4
244,1,0,4
245,1,0,5
246,1,1,2
247,0,0,1
248,0,1,3
249,1,1,2
250,1,1,1
251,1,1,1
252,1,1,2
253,0,0,3
254,1,0,5
255,0,1,1
256,0,0,4
257,0,1,1
258,0,0,4
259,1,0,5
260,0,1,1
261,1,0,5
262,1,1,2
263,0,1,1
264,0,0,1
265,0,1,3
266,1,0,5
267,1,0,4
268,0,1,1
269,0,0,5
270,0,0,4
271,1,1,2
272,0,1,2
273,1,1,2
274,0,1,3
275,0,1,1
276,0,1,1
277,0,1,2
278,1,0,3
279,1,1,2
280,1,1,2
281,0,0,2
282,1,1,5
283,1,1,6
284,1,0,2
285,0,0,3
286,0,1,4
287,0,0,1
288,1,0,3
289,0,1,5
290,1,0,3
291,1,1,2
292,1,1,1
293,1,0,5
294,0,0,1
295,1,1,2
296,1,1,1
297,1,0,3
298,1,0,3
299,1,1,3
300,0,1,2
301,1,1,10
302,0,0,3
303,0,0,1
304,1,1,2
305,0,0,1
306,1,1,3
307,1,1,1
308,1,1,3
309,1,0,3
310,1,0,5
311,0,1,3
312,0,1,2
313,1,1,1
314,1,0,4
315,1,1,2
316,0,0,1
317,1,1,4
318,1,1,3
319,1,0,3
320,0,0,3
321,1,1,2
322,1,1,6
323,1,0,3
324,0,1,1
325,0,0,1
326,1,0,1
327,0,0,1
328,0,0,1
329,1,0,3
330,1,1,2
331,0,0,2
332,0,0,2
333,1,1,4
334,0,1,2
335,0,1,1
336,0,0,1
337,0,0,1
338,0,1,6
339,1,1,2
340,0,1,1
341,0,1,1
342,0,1,1
343,0,1,2
344,0,1,1
345,0,1,2
346,0,1,1
347,1,1,3
348,1,1,2
349,1,1,4
350,1,1,3
351,0,0,2
352,1,1,2
353,1,0,4
354,1,1,7
355,1,0,4
356,1,1,2
357,1,1,2
358,1,0,3
359,1,0,3
360,0,0,1
361,0,1,2
362,0,0,1
363,1,0,6
364,1,1,2
365,1,0,2
366,1,0,5
367,0,0,1
368,1,0,6
369,1,1,3
370,1,1,2
371,1,0,4
372,1,0,4
373,0,1,1
374,1,1,2
375,1,1,3
376,0,0,2
377,0,1,1
378,1,0,5
379,1,1,1
380,1,0,5
381,1,1,3
382,0,1,1
383,0,1,5
384,1,1,2
